PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener06-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      3.97    0.14     14.50  1.90       4
run-listener06-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -3.35   0.18     10.58  1.93       0
run-listener06-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -2.08   0.17     11.58  2.02       1
run-listener06-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  5.14    0.15     12.67  1.95       6
run-listener06-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -6.85   0.12     16.33  1.88       -4
run-listener06-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -5.65   0.10     19.00  1.91       -5
run-listener06-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      4.60    0.10     18.75  1.79       7
run-listener07-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -7.02   0.24     8.42   1.96       -5
run-listener07-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -11.31  0.17     11.33  1.94       -8
run-listener07-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -11.31  0.18     10.83  1.94       -8
run-listener07-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -10.14  0.35     5.92   2.07       -2
run-listener07-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -12.43  0.40     5.00   1.99       -6
run-listener07-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -11.49  0.42     4.92   2.04       -2
run-listener07-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -39.51  0.18     11.42  2.02       -35
run-listener07-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -42.60  0.22     8.92   1.98       -40
run-listener07-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -37.94  0.25     8.33   2.03       -34
run-listener07-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -14.22  0.15     13.67  1.99       -11
run-listener07-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -19.46  0.18     10.83  1.97       -16
run-listener07-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -19.18  0.18     10.83  1.99       -16
run-listener07-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -15.16  0.24     8.17   1.95       -6
run-listener07-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -17.88  0.23     8.67   2.03       -11
run-listener07-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -17.22  0.20     10.42  2.05       -10
run-listener07-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -31.49  0.21     9.08   1.97       -28
run-listener07-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -35.65  0.15     13.67  1.99       -33
run-listener07-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -34.58  0.21     9.75   2.05       -32
run-listener07-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -7.85   0.22     9.00   1.94       -4
run-listener07-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -12.62  0.21     9.67   1.99       -9
run-listener07-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -12.48  0.17     11.83  1.94       -8
run-listener07-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -10.23  0.44     4.75   2.06       -5
run-listener07-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -12.19  0.33     6.00   1.98       -4
run-listener07-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -11.21  0.29     7.17   2.07       -3
run-listener07-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -39.57  0.23     8.42   1.96       -39
run-listener07-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -40.70  0.22     9.08   2.01       -40
run-listener07-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -32.96  0.11     16.67  1.88       -32
run-listener07-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -7.65   0.22     9.17   1.97       -2
